antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Very Low', 'Low', 'Male', 'Very Hight', 'Yes', 'No', 'Hight'})",frozenset({'1'}),0.0276692591663381,0.5854987276441704,0.0178846636321278,0.6463730569948186,1.1039700454953745,1.0,0.0016843475953801,1.1721427921564116,0.0968583190931238,0.0300439520741766,0.1468616224135265,0.3384595451477521
"frozenset({'Low', 'Female', '5.0', ""'More than 8 hours'""})","frozenset({'Yes', '1'})",0.018243073724956,0.5434572237554209,0.0117916920540482,0.6463654223968567,1.1893584152406975,1.0,0.0018773618547181,1.2910015172693934,0.1621690179104055,0.0214430033239914,0.2254075718554481,0.3340314878257448
"frozenset({'Very Low', 'Very Hight', 'Unhealthy', ""'5-6 hours'""})",frozenset({'1'}),0.0357693272642557,0.5854987276441704,0.0231174509874198,0.6462925851703407,1.1038326039934916,1.0,0.0021745553855101,1.1718761184450934,0.0975550117317831,0.0386482113967283,0.146667481092752,0.3428879674137697
"frozenset({""'Less than 5 hours'"", '5.0', 'Yes', 'Female', 'Hight'})","frozenset({'Very Low', '1'})",0.0215762875882584,0.4594458979964876,0.0139421526110175,0.6461794019933554,1.4064319755844146,1.0,0.0040290157845996,1.5277632366484246,0.2953535309400015,0.0298496009821976,0.3454483155428066,0.3382624913859436
"frozenset({'Very Low', ""'5-6 hours'"", '10.0'})","frozenset({'Yes', '1'})",0.0285652843984086,0.5434572237554209,0.018458119780653,0.6461731493099122,1.189004619065875,1.0,0.0029341096257098,1.290299973996204,0.1636346442612991,0.0333441243120751,0.2249864216435751,0.3400687022022752
"frozenset({'Very Low', 'Low', 'Unhealthy', ""'More than 8 hours'"", 'Female'})",frozenset({'1'}),0.0156983620658757,0.5854987276441704,0.0101430056270384,0.6461187214611873,1.1035356542292232,1.0,0.0009516346113706,1.1713003696248607,0.0953180951846681,0.017160875629131,0.1462480283172147,0.3317212118569403
"frozenset({'Moderate', '4.0', 'Hight'})",frozenset({'1'}),0.0558044514533529,0.5854987276441704,0.0360560553385183,0.6461143224149004,1.1035281408972906,1.0,0.0033826200156993,1.171285809542698,0.0993603366137823,0.0595724521821519,0.1462374154516331,0.353848052490506
"frozenset({'5.0', ""'More than 8 hours'""})","frozenset({'Yes', '1'})",0.0592451883445037,0.5434572237554209,0.0382781979140532,0.646098003629764,1.1888663456620752,1.0,0.0060809723354822,1.2900259985167335,0.1688671196778181,0.0678181356362712,0.2248218244052477,0.3582663070974778
"frozenset({'Yes', ""'More than 8 hours'"", 'Unhealthy', '4.0'})","frozenset({'Very Low', '1'})",0.0174187305114512,0.4594458979964876,0.0112540769148059,0.6460905349794239,1.4062385534332558,1.0,0.0032511126330134,1.5273796138006224,0.2940042819089926,0.0241705796320529,0.3452839156916129,0.3352927126882454
"frozenset({'Moderate', 'Male', 'Yes', ""'5-6 hours'"", 'Hight'})",frozenset({'1'}),0.0219705386903695,0.5854987276441704,0.0141930396759972,0.6460032626427407,1.1033384568434812,1.0,0.0013293172271289,1.1709183408024126,0.0957637796907806,0.0239231559233975,0.1459694795499444,0.3351221014486965
